Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),Abs,
2956.0,2.2496134475,
2955.5,2.2476603085,
2955.0,2.2379683994,
2954.5,2.2328863659,
2954.0,2.2286561457,
2953.5,2.2182160310,
2953.0,2.1990362768,
2952.5,2.2102784110,
2952.0,2.1985393580,
2951.5,2.1931483292,
2951.0,2.1761071275,
2950.5,2.1763611912,
2950.0,2.1657551718,
2949.5,2.1616407318,
2949.0,2.1476824346,
2948.5,2.1427905700,
2948.0,2.1369804903,
2947.5,2.1282455424,
2947.0,2.1228665978,
2946.5,2.1132357873,
2946.0,2.1104120897,
2945.5,2.1034518460,
2945.0,2.0906458260,
2944.5,2.0904593812,
2944.0,2.0760690643,
2943.5,2.0698387087,
2943.0,2.0643766890,
2942.5,2.0593700221,
2942.0,2.0471658514,
2941.5,2.0428267098,
2941.0,2.0395293985,
2940.5,2.0294880211,
2940.0,2.0218899175,
2939.5,2.0148186383,
2939.0,2.0051180297,
2938.5,2.0023527432,
2938.0,1.9914471949,
2937.5,1.9841464877,
2937.0,1.9747939040,
2936.5,1.9729639331,
2936.0,1.9658489614,
2935.5,1.9543067009,
2935.0,1.9509973908,
2934.5,1.9448292475,
2934.0,1.9373635684,
2933.5,1.9319259872,
2933.0,1.9231189612,
2932.5,1.9152952582,
2932.0,1.9109429593,
2931.5,1.9042423009,
2931.0,1.8968583291,
2930.5,1.8924273027,
2930.0,1.8840245182,
2929.5,1.8795226640,
2929.0,1.8718099940,
2928.5,1.8649451812,
2928.0,1.8579599824,
2927.5,1.8521783790,
2927.0,1.8445544746,
2926.5,1.8363458713,
2926.0,1.8277488882,
2925.5,1.8265056734,
2925.0,1.8178042386,
2924.5,1.8108381315,
2924.0,1.8045541848,
2923.5,1.7965645543,
2923.0,1.7917736825,
2922.5,1.7840624942,
2922.0,1.7773439346,
2921.5,1.7733080053,
2921.0,1.7665584157,
2920.5,1.7599196574,
2920.0,1.7527275702,
2919.5,1.7461091363,
2919.0,1.7416257067,
2918.5,1.7346500602,
2918.0,1.7294663417,
2917.5,1.7201156256,
2917.0,1.7151483936,
2916.5,1.7105585848,
2916.0,1.7028128241,
2915.5,1.6955704350,
2915.0,1.6918688368,
2914.5,1.6849257718,
2914.0,1.6790729008,
2913.5,1.6721233140,
2913.0,1.6666940159,
2912.5,1.6607139401,
2912.0,1.6562912712,
2911.5,1.6498741232,
2911.0,1.6453868735,
2910.5,1.6374512161,
2910.0,1.6318291281,
2909.5,1.6254103839,
2909.0,1.6199224627,
2908.5,1.6137861709,
2908.0,1.6077211493,
2907.5,1.6039435570,
2907.0,1.5959689662,
2906.5,1.5905477266,
2906.0,1.5856383260,
2905.5,1.5790536649,
2905.0,1.5725143747,
2904.5,1.5673960876,
2904.0,1.5608993063,
2903.5,1.5552373269,
2903.0,1.5493758093,
2902.5,1.5439511383,
2902.0,1.5376572980,
2901.5,1.5318481001,
2901.0,1.5268464613,
2900.5,1.5206574142,
2900.0,1.5147514526,
2899.5,1.5095646215,
2899.0,1.5043245990,
2898.5,1.4987169082,
2898.0,1.4934101035,
2897.5,1.4868667055,
2897.0,1.4825178664,
2896.5,1.4762470962,
2896.0,1.4709351629,
2895.5,1.4654354873,
2895.0,1.4601546427,
2894.5,1.4554431192,
2894.0,1.4505962068,
2893.5,1.4450439981,
2893.0,1.4383662198,
2892.5,1.4338417091,
2892.0,1.4292240621,
2891.5,1.4233036169,
2891.0,1.4183549519,
2890.5,1.4130346683,
2890.0,1.4083479957,
2889.5,1.4026534953,
2889.0,1.3977388178,
2888.5,1.3928208030,
2888.0,1.3868356323,
2887.5,1.3829451532,
2887.0,1.3778359914,
2886.5,1.3719250310,
2886.0,1.3673972919,
2885.5,1.3618893406,
2885.0,1.3574791725,
2884.5,1.3525741629,
2884.0,1.3473915900,
2883.5,1.3418862366,
2883.0,1.3378444096,
2882.5,1.3322250359,
2882.0,1.3275635050,
2881.5,1.3212417797,
2881.0,1.3167779022,
2880.5,1.3118856873,
2880.0,1.3067021896,
2879.5,1.3024907615,
2879.0,1.2969198454,
2878.5,1.2920304176,
2878.0,1.2873067286,
2877.5,1.2826842475,
