Baseline 100%T,,
Wavelength (nm),%T,
3050.5,112.3539886,
3050,112.3541489,
3049.5,112.3534775,
3049,112.3643646,
3048.5,112.3559723,
3048,112.3821716,
3047.5,112.3987808,
3047,112.3819504,
3046.5,112.3958969,
3046,112.3371582,
3045.5,112.3692169,
3045,112.3622894,
3044.5,112.3572617,
3044,112.3723526,
3043.5,112.3585815,
3043,112.3782425,
3042.5,112.4262924,
3042,112.3745422,
3041.5,112.4630127,
3041,112.4632568,
3040.5,112.4028549,
3040,112.4735565,
3039.5,112.3702774,
3039,112.3876114,
3038.5,112.4010239,
3038,112.3850708,
3037.5,112.4109955,
3037,112.4229202,
3036.5,112.3520355,
3036,112.4047775,
3035.5,112.3544312,
3035,112.3232574,
3034.5,112.3833084,
3034,112.3384018,
3033.5,112.3413925,
3033,112.3470764,
3032.5,112.317276,
3032,112.4118195,
3031.5,112.3095016,
3031,112.3907318,
3030.5,112.4109268,
3030,112.368988,
3029.5,112.415123,
3029,112.3735809,
3028.5,112.3701324,
3028,112.3853912,
3027.5,112.3826294,
3027,112.4716263,
3026.5,112.4666061,
3026,112.4241104,
3025.5,112.5143738,
3025,112.3827133,
3024.5,112.378334,
3024,112.3986969,
3023.5,112.3486023,
3023,112.4095535,
3022.5,112.4521942,
3022,112.3851318,
3021.5,112.407959,
3021,112.3696442,
3020.5,112.3390656,
3020,112.3994217,
3019.5,112.4032745,
3019,112.4421844,
3018.5,112.4352417,
3018,112.3743439,
3017.5,112.3806458,
3017,112.3727951,
3016.5,112.4037781,
3016,112.460495,
3015.5,112.4522247,
3015,112.4979858,
3014.5,112.4479294,
3014,112.4720688,
3013.5,112.428299,
3013,112.3921967,
3012.5,112.4244843,
3012,112.455513,
3011.5,112.4527817,
3011,112.4787903,
3010.5,112.4419556,
3010,112.4125595,
3009.5,112.4081268,
3009,112.3783722,
3008.5,112.4223328,
3008,112.3921661,
3007.5,112.3948898,
3007,112.4391327,
3006.5,112.4006119,
3006,112.3846207,
