GGG-Tb_(1%)-IIA-02-Abs-Scan_190-3300_2x5mm_Vozduh-15-11-17-Step_0_2-SBW_0_5,,
Wavenumber (cm-1),%T,
3069.7,80.9226400159,
3069.7,80.9226400159,
3069.9,81.3783525169,
3069.9,81.3783525169,
3070.1,81.3557863879,
3070.1,81.3557863879,
3070.3,81.3207086709,
3070.3,81.3207086709,
3070.5,81.4394294136,
3070.5,81.4394294136,
3070.7,80.8744853324,
3070.7,80.8744853324,
3070.9,81.2594419988,
3070.9,81.2594419988,
3071.1,80.7931841963,
3071.1,80.7931841963,
3071.3,81.1491315518,
3071.3,81.1491315518,
3071.4,80.9707997553,
3071.4,80.9707997553,
3071.6,81.2736751444,
3071.6,81.2736751444,
3071.8,80.8160656626,
3071.8,80.8160656626,
3072.0,81.1022696111,
3072.0,81.1022696111,
3072.2,81.3508150330,
3072.2,81.3508150330,
3072.4,80.8034652207,
3072.4,80.8034652207,
3072.6,80.8532421014,
3072.6,80.8532421014,
3072.8,81.4443111741,
3072.8,81.4443111741,
3073.0,80.8053255651,
3073.0,80.8053255651,
3073.1,80.8804571378,
3073.1,80.8804571378,
3073.3,80.6561116321,
3073.3,80.6561116321,
3073.5,81.2580702614,
3073.5,81.2580702614,
3073.7,81.1030028607,
3073.7,81.1030028607,
3073.9,81.2389129632,
3073.9,81.2389129632,
3074.1,81.0710730237,
3074.1,81.0710730237,
3074.3,81.2863112578,
3074.3,81.2863112578,
3074.5,81.1647475394,
3074.5,81.1647475394,
3074.7,81.4830598686,
3074.7,81.4830598686,
3074.8,81.0786491877,
3074.8,81.0786491877,
3075.0,81.3219196305,
3075.0,81.3219196305,
3075.2,81.5049048341,
3075.2,81.5049048341,
3075.4,81.1760186473,
3075.4,81.1760186473,
3075.6,80.9103547047,
3075.6,80.9103547047,
3075.8,81.0992657260,
3075.8,81.0992657260,
3076.0,80.9158266436,
3076.0,80.9158266436,
3076.2,81.3675935316,
3076.2,81.3675935316,
3076.4,80.8967764009,
3076.4,80.8967764009,
3076.5,80.7986495970,
3076.5,80.7986495970,
3076.7,81.1474985627,
3076.7,81.1474985627,
3076.9,81.5280074486,
3076.9,81.5280074486,
3077.1,81.5528696506,
3077.1,81.5528696506,
3077.3,80.7162822795,
3077.3,80.7162822795,
3077.5,81.4540448289,
3077.5,81.4540448289,
3077.7,81.0965123775,
3077.7,81.0965123775,
3077.9,81.4343327989,
3077.9,81.4343327989,
3078.1,81.4278130065,
3078.1,81.4278130065,
3078.2,81.1249199036,
3078.2,81.1249199036,
3078.4,81.1915450923,
3078.4,81.1915450923,
3078.6,81.5833628778,
3078.6,81.5833628778,
3078.8,81.2435206726,
3078.8,81.2435206726,
3079.0,81.2847020033,
3079.0,81.2847020033,
3079.2,80.8609962822,
3079.2,80.8609962822,
3079.4,81.3560250543,
3079.4,81.3560250543,
3079.6,80.9557682861,
3079.6,80.9557682861,
3079.8,81.1217481763,
3079.8,81.1217481763,
3080.0,80.8111314449,
3080.0,80.8111314449,
3080.1,81.5296648798,
3080.1,81.5296648798,
3080.3,81.3823468400,
3080.3,81.3823468400,
3080.5,81.2140642716,
3080.5,81.2140642716,
3080.7,81.3148075892,
3080.7,81.3148075892,
3080.9,80.9485549505,
3080.9,80.9485549505,
3081.1,81.1163541578,
3081.1,81.1163541578,
3081.3,81.3137111246,
3081.3,81.3137111246,
3081.5,81.2768402636,
3081.5,81.2768402636,
3081.7,81.4074104218,
3081.7,81.4074104218,
3081.9,81.1183928764,
3081.9,81.1183928764,
3082.0,80.8779651325,
3082.0,80.8779651325,
3082.2,81.2003500232,
3082.2,81.2003500232,
3082.4,80.8892366597,
3082.4,80.8892366597,
3082.6,81.1124202020,
3082.6,81.1124202020,
3082.8,80.6417223975,
3082.8,80.6417223975,
3083.0,81.0595633923,
3083.0,81.0595633923,
3083.2,81.4167318156,
3083.2,81.4167318156,
3083.4,81.5084215469,
3083.4,81.5084215469,
3083.6,81.2242748366,
3083.6,81.2242748366,
3083.8,80.6621129785,
3083.8,80.6621129785,
3083.9,81.0202835820,
3083.9,81.0202835820,
3084.1,81.5116167840,
3084.1,81.5116167840,
3084.3,81.2504355144,
3084.3,81.2504355144,
3084.5,81.3926162641,
3084.5,81.3926162641,
3084.7,81.4063783463,
3084.7,81.4063783463,
3084.9,81.0998737284,
3084.9,81.0998737284,
3085.1,81.6080095538,
3085.1,81.6080095538,
3085.3,81.3513872384,
3085.3,81.3513872384,
3085.5,81.7444560083,
3085.5,81.7444560083,
3085.7,81.3248341022,
3085.7,81.3248341022,
3085.8,81.3042885462,
3085.8,81.3042885462,
3086.0,81.3330534992,
3086.0,81.3330534992,
3086.2,81.3663120955,
3086.2,81.3663120955,
3086.4,81.4579785854,
3086.4,81.4579785854,
3086.6,81.5272451810,
3086.6,81.5272451810,
3086.8,80.9166553795,
3086.8,80.9166553795,
3087.0,81.1624347476,
3087.0,81.1624347476,
3087.2,81.6827005275,
3087.2,81.6827005275,
3087.4,81.1387717459,
3087.4,81.1387717459,
3087.6,81.0826663587,
3087.6,81.0826663587,
3087.8,81.6715538258,
3087.8,81.6715538258,
