Ftorid-DK-68-CeF3-N5-l_10-T-Scan_200-3300_2x5mm-11-12-17-Step_0_5-SBW_1_0,,
Wavelength (nm),%T,
3191,0.1063424051,
3190.5,0.3267735839,
3190,0.1330499351,
3189.5,0.1517660469,
3189,0.08560400456,
3188.5,0.06143121421,
3188,0.08150020242,
3187.5,0.009167416953,
3187,0.1432563215,
3186.5,-0.1050639898,
3186,0.06453786045,
3185.5,0.2049378753,
3185,0.1317521632,
3184.5,0.1069376096,
3184,0.1940014362,
3183.5,0.07720213383,
3183,0.08860289305,
3182.5,0.2665610611,
3182,0.2094638348,
3181.5,0.1666274816,
3181,0.2135140598,
3180.5,0.1250220537,
3180,0.06601529568,
3179.5,-0.04190789908,
3179,0.005849616602,
3178.5,0.1446682215,
3178,0.07998541743,
3177.5,0.1196499318,
3177,0.1194845438,
3176.5,-0.005674515851,
3176,0.02300334536,
3175.5,0.09559141845,
3175,0.1827809364,
3174.5,0.1960922927,
3174,0.04606997222,
3173.5,-0.04101751745,
3173,0.1591442376,
3172.5,0.05552391708,
3172,0.04258757457,
3171.5,0.1315253079,
3171,-0.02431675605,
3170.5,0.001372014522,
3170,0.1248133332,
3169.5,-0.0276594311,
3169,0.05328672007,
3168.5,0.06237385795,
3168,0.1110449806,
3167.5,0.0959584862,
3167,-0.04984988645,
3166.5,0.1652136892,
3166,0.03322155401,
3165.5,0.02841018513,
3165,0.08480722457,
3164.5,0.2087255716,
3164,0.0812074244,
3163.5,0.1764102876,
3163,0.1017703116,
3162.5,0.106680721,
3162,0.05305133387,
3161.5,0.1252826601,
3161,0.1796639711,
3160.5,0.07447122037,
3160,0.1253082007,
3159.5,-0.07105659693,
3159,0.06184012815,
3158.5,0.04323243722,
3158,0.06914921105,
3157.5,-0.01131183375,
3157,-0.02131658979,
3156.5,-0.05498166382,
3156,0.002976730233,
3155.5,0.09290345758,
3155,0.1128203124,
3154.5,0.06709780544,
3154,-0.02067895979,
3153.5,0.02656765841,
3153,-0.06779175252,
3152.5,-0.03637943417,
3152,-0.08907780051,
3151.5,0.09187161922,
3151,0.1362229884,
3150.5,0.1203830913,
3150,0.0438994579,
3149.5,0.08863019198,
3149,0.1986021698,
3148.5,0.0654475987,
3148,0.1492023021,
3147.5,0.06947545707,
3147,0.09196634591,
3146.5,0.09101399034,
3146,0.1147263125,
3145.5,0.08450636268,
3145,0.1569095701,
3144.5,0.1510301232,
3144,0.1512321532,
3143.5,0.01145250537,
3143,0.1746412665,
3142.5,0.1132687405,
3142,0.131743148,
3141.5,0.1569617987,
3141,-0.02695171908,
3140.5,0.2015691549,
3140,0.06504815817,
3139.5,0.1282701641,
3139,0.02450967766,
3138.5,0.03731663525,
3138,0.1346894354,
3137.5,0.1475684643,
3137,0.04321110249,
3136.5,0.04580930248,
3136,0.07954282314,
3135.5,-0.04945159703,
3135,0.09517771751,
3134.5,0.1578215212,
3134,0.04413395375,
3133.5,0.04241925478,
3133,0.06618848443,
3132.5,0.1331902146,
3132,0.06547605246,
3131.5,0.06320415437,
3131,0.07387587428,
3130.5,0.005101294257,
3130,0.1200480536,
3129.5,0.04226802289,
3129,0.1369024217,
3128.5,0.158193633,
3128,0.1241043657,
3127.5,0.1375858337,
3127,0.09853682667,
3126.5,0.1282878369,
3126,0.170380488,
3125.5,0.1087198406,
3125,0.08077669889,
3124.5,0.05831974,
3124,0.04242852703,
3123.5,0.06377284229,
3123,-0.01981166936,
3122.5,0.07375788689,
3122,0.1233081073,
3121.5,0.01943192258,
3121,0.04290810972,
3120.5,0.0301011838,
3120,0.00851473771,
3119.5,0.07886019349,
3119,0.04265531152,
3118.5,0.01370637584,
3118,0.07707992941,
3117.5,0.09012304991,
3117,0.09930916131,
3116.5,0.05456596985,
3116,-0.03122746199,
3115.5,0.04309070855,
3115,0.1279572695,
3114.5,0.05072508752,
3114,0.003030637745,
3113.5,0.05523235723,
3113,0.08742959797,
3112.5,0.05673166737,
3112,-0.05363705754,
3111.5,0.009372036904,
3111,0.06052447855,
3110.5,0.03954413906,
3110,0.07044466585,
3109.5,0.0583319515,
3109,0.06854418665,
3108.5,0.09057297558,
3108,0.06923621148,
3107.5,0.0694032833,
3107,0.01372778788,
3106.5,0.07573287934,
3106,0.1108370051,
3105.5,0.08375228196,
3105,0.03202103078,
3104.5,0.01021858212,
3104,0.09167417139,
3103.5,0.07546848059,
3103,0.06753724068,
3102.5,0.0679904297,
3102,0.07573538274,
3101.5,0.07005172968,
3101,0.07712129503,
3100.5,0.0265014004,
3100,0.01322818175,
3099.5,0.03251918405,
3099,0.004695711192,
3098.5,0.04742268845,
3098,0.05236797035,
3097.5,0.01465862151,
3097,0.06820273399,
3096.5,0.01053986698,
3096,0.02709169127,
3095.5,0.01152669173,
3095,-0.02752323262,
3094.5,-0.003471585689,
3094,0.00771034183,
3093.5,0.05994573981,
3093,0.06203274429,
3092.5,0.03971210122,
3092,0.08158743382,
3091.5,0.08753166348,
3091,0.06717180461,
3090.5,0.1003649235,
3090,0.07592696697,
3089.5,0.09589967132,
3089,0.08704917133,
3088.5,0.06906288862,
3088,0.09055999666,
3087.5,0.06449047476,
3087,0.05283283442,
3086.5,0.0162212532,
3086,0.1169260219,
3085.5,0.07178834826,
3085,0.07692257315,
3084.5,0.04956223443,
3084,0.05817671865,
3083.5,0.122798048,
3083,0.01788949035,
3082.5,0.0435263291,
3082,0.06320887059,
3081.5,0.03381411359,
3081,0.01556249801,
3080.5,0.03521936387,
3080,0.07285146415,
3079.5,0.08725578338,
3079,0.05548334494,
3078.5,0.07647128403,
3078,0.08206145465,
3077.5,0.01091402583,
3077,0.1102361158,
3076.5,0.06089637056,
3076,0.06153843552,
3075.5,0.03115669824,
3075,0.02902866714,
3074.5,0.05847027153,
3074,0.02533468604,
3073.5,0.03323680535,
3073,0.04983901605,
3072.5,0.05654416233,
3072,0.05870303884,
3071.5,0.03700287268,
3071,0.01959959604,
3070.5,-0.004030858167,
3070,0.07092820853,
3069.5,0.05477631837,
3069,0.0406797491,
3068.5,0.0295445025,
3068,0.08825465292,
3067.5,0.02703620493,
3067,0.05622019619,
3066.5,0.06452805549,
3066,0.0823533535,
3065.5,0.02649145015,
3065,0.05888458714,
3064.5,0.01632110775,
3064,0.03736140952,
3063.5,0.05383414775,
3063,0.03239133209,
3062.5,0.05491303653,
3062,0.03230107948,
3061.5,0.02408266068,
3061,0.05731635168,
3060.5,0.04939689487,
3060,0.0390856117,
3059.5,0.04367574304,
3059,0.08524997532,
3058.5,0.05321213976,
3058,0.0285101328,
3057.5,0.05009695888,
3057,0.02403859049,
3056.5,0.0126644969,
3056,0.04500784352,
3055.5,0.04952692613,
3055,0.02277280204,
3054.5,0.03219395503,
3054,0.03847533464,
3053.5,0.02607871406,
3053,0.05260032043,
3052.5,0.06628391892,
3052,0.02135100961,
3051.5,0.02433750406,
3051,0.06093895063,
3050.5,0.06043597311,
3050,0.0638050586,
3049.5,0.02943642624,
3049,0.09867523611,
3048.5,0.02287502401,
3048,0.08082372695,
3047.5,0.07424362749,
3047,0.01375241391,
3046.5,0.04439383373,
3046,0.02833915874,
3045.5,0.05790855363,
3045,0.07540500164,
3044.5,0.04956959188,
3044,0.04327521473,
3043.5,0.0413479954,
3043,0.01719514094,
3042.5,0.05979008973,
3042,0.04013421386,
3041.5,0.04488467425,
