IOH-SAI-02-F(R)-Scan_200-790_DRA-Et-09-11-20,,
Wavenumber (cm-1),Abs,
13698.6,0.2853438876,
13698.6,0.2853438876,
13717.4,0.2854554046,
13717.4,0.2854554046,
13736.3,0.2849116604,
13736.3,0.2849116604,
13755.2,0.2866718004,
13755.2,0.2866718004,
13774.1,0.2860874624,
13774.1,0.2860874624,
13793.1,0.2865989774,
13793.1,0.2865989774,
13812.2,0.2865045810,
13812.2,0.2865045810,
13831.3,0.2870119304,
13831.3,0.2870119304,
13850.4,0.2877215622,
13850.4,0.2877215622,
13869.6,0.2874487552,
13869.6,0.2874487552,
13888.9,0.2885727929,
13888.9,0.2885727929,
13908.2,0.2879673084,
13908.2,0.2879673084,
13927.6,0.2881485030,
13927.6,0.2881485030,
13947.0,0.2885529732,
13947.0,0.2885529732,
13966.5,0.2889371243,
13966.5,0.2889371243,
13986.0,0.2896836057,
13986.0,0.2896836057,
14005.6,0.2900285826,
14005.6,0.2900285826,
14025.2,0.2892920436,
14025.2,0.2892920436,
14044.9,0.2901315187,
14044.9,0.2901315187,
14064.7,0.2903040716,
14064.7,0.2903040716,
14084.5,0.2908767652,
14084.5,0.2908767652,
14104.4,0.2913591698,
14104.4,0.2913591698,
14124.3,0.2910838194,
14124.3,0.2910838194,
14144.3,0.2918609675,
14144.3,0.2918609675,
14164.3,0.2921737927,
14164.3,0.2921737927,
14184.4,0.2927145221,
14184.4,0.2927145221,
14204.5,0.2923058024,
14204.5,0.2923058024,
14224.8,0.2939629508,
14224.8,0.2939629508,
14245.0,0.2939732464,
14245.0,0.2939732464,
14265.3,0.2937214322,
14265.3,0.2937214322,
14285.7,0.2941359160,
14285.7,0.2941359160,
14306.2,0.2952363395,
14306.2,0.2952363395,
14326.6,0.2952184613,
14326.6,0.2952184613,
14347.2,0.2951973165,
14347.2,0.2951973165,
14367.8,0.2950179038,
14367.8,0.2950179038,
14388.5,0.2948306502,
14388.5,0.2948306502,
14409.2,0.2943107304,
14409.2,0.2943107304,
14430.0,0.2946002808,
14430.0,0.2946002808,
14450.9,0.2939869997,
14450.9,0.2939869997,
14471.8,0.2941383618,
14471.8,0.2941383618,
14492.8,0.2934398964,
14492.8,0.2934398964,
14513.8,0.2933450280,
14513.8,0.2933450280,
14534.9,0.2931642416,
14534.9,0.2931642416,
14556.0,0.2925968554,
14556.0,0.2925968554,
14577.3,0.2931229087,
14577.3,0.2931229087,
14598.5,0.2924499833,
14598.5,0.2924499833,
14619.9,0.2922859597,
14619.9,0.2922859597,
14641.3,0.2918151929,
14641.3,0.2918151929,
14662.8,0.2915495391,
14662.8,0.2915495391,
14684.3,0.2910296788,
14684.3,0.2910296788,
14705.9,0.2909027134,
14705.9,0.2909027134,
14727.5,0.2908562812,
14727.5,0.2908562812,
14749.3,0.2912071446,
14749.3,0.2912071446,
14771.0,0.2911936350,
14771.0,0.2911936350,
14792.9,0.2907822485,
14792.9,0.2907822485,
14814.8,0.2909570337,
14814.8,0.2909570337,
14836.8,0.2907589371,
14836.8,0.2907589371,
14858.8,0.2909809101,
14858.8,0.2909809101,
14881.0,0.2909598692,
14881.0,0.2909598692,
14903.1,0.2907636427,
14903.1,0.2907636427,
14925.4,0.2907708714,
14925.4,0.2907708714,
14947.7,0.2909671552,
14947.7,0.2909671552,
14970.1,0.2911789592,
14970.1,0.2911789592,
14992.5,0.2907451343,
14992.5,0.2907451343,
15015.0,0.2914147182,
15015.0,0.2914147182,
15037.6,0.2908309477,
15037.6,0.2908309477,
15060.2,0.2913167456,
15060.2,0.2913167456,
15083.0,0.2907133319,
15083.0,0.2907133319,
15105.7,0.2907735474,
15105.7,0.2907735474,
15128.6,0.2909709417,
15128.6,0.2909709417,
15151.5,0.2911019893,
15151.5,0.2911019893,
15174.5,0.2912710252,
15174.5,0.2912710252,
15197.6,0.2912959385,
15197.6,0.2912959385,
15220.7,0.2911057828,
15220.7,0.2911057828,
15243.9,0.2915269426,
15243.9,0.2915269426,
15267.2,0.2915054723,
15267.2,0.2915054723,
15290.5,0.2911157997,
15290.5,0.2911157997,
15313.9,0.2912135271,
15313.9,0.2912135271,
15337.4,0.2913855973,
15337.4,0.2913855973,
15361.0,0.2918515432,
15361.0,0.2918515432,
15384.6,0.2912727459,
15384.6,0.2912727459,
15408.3,0.2913734948,
15408.3,0.2913734948,
15432.1,0.2913288957,
15432.1,0.2913288957,
15456.0,0.2912421747,
15456.0,0.2912421747,
15479.9,0.2915553580,
15479.9,0.2915553580,
15503.9,0.2917349712,
15503.9,0.2917349712,
15528.0,0.2912461722,
15528.0,0.2912461722,
15552.1,0.2910053943,
15552.1,0.2910053943,
15576.3,0.2911815860,
15576.3,0.2911815860,
15600.6,0.2913307683,
15600.6,0.2913307683,
15625.0,0.2914311717,
15625.0,0.2914311717,
15649.5,0.2912134733,
15649.5,0.2912134733,
15674.0,0.2912345291,
15674.0,0.2912345291,
15698.6,0.2912766444,
15698.6,0.2912766444,
15723.3,0.2911640315,
15723.3,0.2911640315,
15748.0,0.2913537048,
15748.0,0.2913537048,
15772.9,0.2914753857,
15772.9,0.2914753857,
15797.8,0.2914033694,
15797.8,0.2914033694,
15822.8,0.2913177581,
15822.8,0.2913177581,
15847.9,0.2918990367,
15847.9,0.2918990367,
15873.0,0.2917018788,
15873.0,0.2917018788,
15898.3,0.2917233683,
15898.3,0.2917233683,
15923.6,0.2917526026,
15923.6,0.2917526026,
