Baseline 100%T,,
Wavelength (nm),Abs,
2840,-0.04851835594,
2839.5,-0.04826400429,
2839,-0.04817472398,
2838.5,-0.04829657078,
2838,-0.04813746735,
2837.5,-0.04817657545,
2837,-0.04819381237,
2836.5,-0.04797413573,
2836,-0.04802322388,
2835.5,-0.04796532542,
2835,-0.04803921655,
2834.5,-0.04818709567,
2834,-0.04814844951,
2833.5,-0.04826784879,
2833,-0.04841787368,
2832.5,-0.04846746847,
2832,-0.04870328307,
2831.5,-0.04868768528,
2831,-0.04873067886,
2830.5,-0.0489680618,
2830,-0.04887365177,
2829.5,-0.04882262275,
2829,-0.04881947488,
2828.5,-0.0488320142,
2828,-0.0490296185,
2827.5,-0.04906633496,
2827,-0.04887739941,
2826.5,-0.04898522049,
2826,-0.04892453551,
2825.5,-0.04891967773,
2825,-0.04895797744,
2824.5,-0.04882886633,
2824,-0.04895279557,
2823.5,-0.04879967123,
2823,-0.04854590073,
2822.5,-0.04860816523,
2822,-0.04838235304,
2821.5,-0.04825946316,
2821,-0.04831820354,
2820.5,-0.04819538817,
2820,-0.04819395393,
2819.5,-0.04815266654,
2819,-0.04811151698,
2818.5,-0.04836762324,
2818,-0.04845441133,
2817.5,-0.04852918908,
2817,-0.0487999022,
2816.5,-0.04893864319,
2816,-0.04915885255,
2815.5,-0.04934905097,
2815,-0.04937076941,
2814.5,-0.04971267283,
2814,-0.04977264628,
2813.5,-0.04982084036,
2813,-0.05001527444,
2812.5,-0.05004812405,
2812,-0.0501906164,
2811.5,-0.05036137253,
2811,-0.05037026852,
2810.5,-0.05062915012,
2810,-0.05055597797,
2809.5,-0.05047398806,
2809,-0.05064407736,
2808.5,-0.05045172572,
2808,-0.05025799572,
2807.5,-0.05008419976,
2807,-0.04986441508,
2806.5,-0.04971470311,
2806,-0.04941240326,
2805.5,-0.04905153811,
2805,-0.04902887717,
2804.5,-0.0488583371,
2804,-0.04887184501,
2803.5,-0.04891199991,
2803,-0.04888785258,
2802.5,-0.04908667877,
2802,-0.04932174087,
2801.5,-0.04965527728,
2801,-0.05007285252,
2800.5,-0.05034214631,
2800,-0.0505435802,
2799.5,-0.05078798532,
2799,-0.05085011572,
2798.5,-0.05089575052,
2798,-0.05101467296,
2797.5,-0.0510767214,
2797,-0.05123898387,
2796.5,-0.05117976665,
2796,-0.05118307844,
2795.5,-0.05138168484,
2795,-0.0511158444,
2794.5,-0.05116568506,
2794,-0.05124561116,
2793.5,-0.05112449452,
2793,-0.05121593177,
2792.5,-0.05111078173,
2792,-0.05103147402,
2791.5,-0.05114290491,
2791,-0.0510398522,
2790.5,-0.05094934627,
2790,-0.05078393221,
2789.5,-0.05054805055,
2789,-0.05054602399,
2788.5,-0.05048551038,
2788,-0.05041194335,
2787.5,-0.05076187104,
2787,-0.05096983165,
2786.5,-0.05124395341,
2786,-0.05165278912,
2785.5,-0.05169645324,
2785,-0.05208805576,
2784.5,-0.0523939617,
2784,-0.05230557546,
2783.5,-0.05244934559,
2783,-0.05248715356,
2782.5,-0.05239745229,
2782,-0.05241809785,
2781.5,-0.05230052397,
2781,-0.05233187228,
2780.5,-0.05227670446,
2780,-0.0520670712,
2779.5,-0.05220780149,
2779,-0.05213062465,
2778.5,-0.05206592381,
2778,-0.05239515752,
2777.5,-0.05239093304,
2777,-0.05251573399,
2776.5,-0.05263389274,
2776,-0.05252756923,
2775.5,-0.05273583159,
2775,-0.0527773276,
2774.5,-0.05271088704,
2774,-0.05270690098,
2773.5,-0.05237354338,
2773,-0.05216680467,
2772.5,-0.05213966966,
2772,-0.05187226832,
2771.5,-0.05193621665,
2771,-0.05192179233,
2770.5,-0.05200314149,
2770,-0.05221991986,
2769.5,-0.05219710618,
2769,-0.05234720185,
2768.5,-0.05270158127,
2768,-0.05276205763,
2767.5,-0.05283582583,
2767,-0.05289371684,
2766.5,-0.05288253352,
2766,-0.05308613926,
2765.5,-0.05314862728,
2765,-0.05312563106,
2764.5,-0.05354610831,
2764,-0.05363040045,
2763.5,-0.05377593264,
2763,-0.05394953489,
2762.5,-0.05403306335,
2762,-0.0543028377,
2761.5,-0.05463312194,
2761,-0.05474915355,
