IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Energy (eV),%T,
1.9016,36.4256614563,
1.9016,36.4256614563,
1.9045,36.3857794383,
1.9045,36.3857794383,
1.9074,36.3972269277,
1.9074,36.3972269277,
1.9104,36.4403796607,
1.9104,36.4403796607,
1.9133,36.3969172176,
1.9133,36.3969172176,
1.9163,36.3979887227,
1.9163,36.3979887227,
1.9193,36.3946669184,
1.9193,36.3946669184,
1.9222,36.3990078097,
1.9222,36.3990078097,
1.9252,36.3853524743,
1.9252,36.3853524743,
1.9282,36.4338211090,
1.9282,36.4338211090,
1.9312,36.4383867208,
1.9312,36.4383867208,
1.9342,36.4195554048,
1.9342,36.4195554048,
1.9373,36.3853999107,
1.9373,36.3853999107,
1.9403,36.4376990876,
1.9403,36.4376990876,
1.9433,36.4425127584,
1.9433,36.4425127584,
1.9464,36.4195703988,
1.9464,36.4195703988,
1.9494,36.4191005558,
1.9494,36.4191005558,
1.9525,36.4138101997,
1.9525,36.4138101997,
1.9556,36.4388468113,
1.9556,36.4388468113,
1.9587,36.4106843325,
1.9587,36.4106843325,
1.9618,36.4040761707,
1.9618,36.4040761707,
1.9649,36.4344961688,
1.9649,36.4344961688,
1.9680,36.3730375960,
1.9680,36.3730375960,
1.9711,36.3919947023,
1.9711,36.3919947023,
1.9743,36.4165664863,
1.9743,36.4165664863,
1.9774,36.4099497620,
1.9774,36.4099497620,
1.9806,36.3798173754,
1.9806,36.3798173754,
1.9837,36.3788537506,
1.9837,36.3788537506,
1.9869,36.3519973805,
1.9869,36.3519973805,
1.9901,36.3641828533,
1.9901,36.3641828533,
1.9933,36.2503293100,
1.9933,36.2503293100,
1.9965,36.2875801010,
1.9965,36.2875801010,
1.9997,36.2320949258,
1.9997,36.2320949258,
2.0030,36.2179877414,
2.0030,36.2179877414,
2.0062,36.2034860535,
2.0062,36.2034860535,
2.0095,36.1868644731,
2.0095,36.1868644731,
2.0127,36.1812925374,
2.0127,36.1812925374,
2.0160,36.1595940024,
2.0160,36.1595940024,
2.0193,36.1172174145,
2.0193,36.1172174145,
2.0226,36.0860321574,
2.0226,36.0860321574,
2.0259,36.0622055521,
2.0259,36.0622055521,
2.0292,36.0234383567,
2.0292,36.0234383567,
2.0325,36.0065559820,
2.0325,36.0065559820,
2.0359,35.9716473721,
2.0359,35.9716473721,
2.0392,35.9271118547,
2.0392,35.9271118547,
2.0426,35.9200960007,
2.0426,35.9200960007,
2.0459,35.8963075119,
2.0459,35.8963075119,
2.0493,35.8905512667,
2.0493,35.8905512667,
2.0527,35.8155434709,
2.0527,35.8155434709,
2.0561,35.7824799086,
2.0561,35.7824799086,
2.0595,35.7826591615,
2.0595,35.7826591615,
2.0630,35.7553277137,
2.0630,35.7553277137,
2.0664,35.7188561482,
2.0664,35.7188561482,
2.0699,35.7307533831,
2.0699,35.7307533831,
2.0733,35.6753043814,
2.0733,35.6753043814,
2.0768,35.6991791364,
2.0768,35.6991791364,
2.0803,35.7325237219,
2.0803,35.7325237219,
2.0838,35.6618691609,
2.0838,35.6618691609,
2.0873,35.6781027011,
2.0873,35.6781027011,
2.0908,35.6751868726,
2.0908,35.6751868726,
2.0943,35.6515850490,
2.0943,35.6515850490,
2.0979,35.6881764924,
2.0979,35.6881764924,
2.1014,35.7045028639,
2.1014,35.7045028639,
2.1050,35.7355325110,
2.1050,35.7355325110,
