IOH-SAI-02-F(R)-Scan_200-790_DRA-Et-09-11-20,,
Wavelength (nm),F(R),
412,0.3480969369,
411,0.3489985168,
410,0.3486646116,
409,0.3507738113,
408,0.3517103493,
407,0.3528161645,
406,0.3537881076,
405,0.3544081151,
404,0.3585455418,
403,0.3572664559,
402,0.3602015972,
401,0.3610138595,
400,0.3628472984,
399,0.3641706705,
398,0.3651257753,
397,0.3704426289,
396,0.3700490296,
395,0.3720976114,
394,0.3753366768,
393,0.3737411499,
392,0.3782438636,
391,0.3781795502,
390,0.3822735846,
389,0.3852525651,
388,0.3869372904,
387,0.3896704614,
386,0.3912622929,
385,0.3951876462,
384,0.3983535171,
383,0.4005798995,
382,0.4035589993,
381,0.4094664454,
380,0.4111089706,
379,0.4158815145,
378,0.4215216935,
377,0.4246142805,
376,0.4288422465,
375,0.433106631,
374,0.4373937547,
373,0.4470219612,
372,0.4520725608,
371,0.4578553438,
370,0.4683692157,
369,0.4745515287,
368,0.4839092791,
367,0.4931899905,
366,0.5069562793,
365,0.5180748105,
364,0.5305469632,
363,0.5398570895,
362,0.5561323166,
361,0.5730711818,
360,0.5867650509,
359,0.6005244851,
358,0.6163671613,
357,0.634491086,
356,0.6466130018,
355,0.6661200523,
354,0.6829677224,
353,0.6971819401,
352,0.709839344,
351,0.7263495922,
350,0.7397194505,
349,0.6984750628,
348,0.7136443257,
347,0.7328014374,
346,0.7398981452,
345,0.7563602924,
344,0.7695940137,
343,0.7803402543,
342,0.7947393656,
341,0.8219506145,
340,0.8247273564,
339,0.8371219635,
338,0.8570776582,
337,0.8641947508,
336,0.8810172081,
335,0.8907210827,
334,0.9001030922,
333,0.9172777534,
332,0.9414916635,
331,0.9320193529,
330,0.9480373263,
329,0.9554136992,
328,0.9578869939,
327,0.9755418301,
326,0.9930573106,
325,0.9927590489,
324,1.005914688,
323,1.006555319,
322,1.010806322,
321,1.004878044,
320,1.019480824,
319,1.014471412,
318,1.016878366,
317,1.011275053,
316,1.016276598,
315,1.026055932,
314,1.028271198,
313,1.034113765,
312,1.027475357,
311,1.036619306,
310,1.019388676,
309,1.038687229,
308,1.037023425,
307,1.036917925,
306,1.041592717,
305,1.045560122,
304,1.062928438,
303,1.045580745,
302,1.046690226,
301,1.040603638,
300,1.039970994,
299,1.05541122,
298,1.042204738,
297,1.054639459,
296,1.050107479,
295,1.039746165,
294,1.050937653,
293,1.049876451,
292,1.055100799,
291,1.05011332,
290,1.055551529,
289,1.057926297,
288,1.053593278,
287,1.061195135,
286,1.060435295,
285,1.053727746,
284,1.056736231,
283,1.064067483,
282,1.05229795,
281,1.061641097,
280,1.062110424,
279,1.061044097,
278,1.062595129,
277,1.065282226,
276,1.069479108,
275,1.066075444,
274,1.075893402,
273,1.062508225,
272,1.0776968,
271,1.07499516,
270,1.075363517,
269,1.08534658,
268,1.087474823,
267,1.079820275,
266,1.093333006,
265,1.087514043,
264,1.094394445,
263,1.085839272,
262,1.0943923,
261,1.093306065,
260,1.089620471,
259,1.091914892,
258,1.101660132,
257,1.096218944,
256,1.110855103,
255,1.114852667,
254,1.109605908,
253,1.123784423,
252,1.127451658,
251,1.134585023,
250,1.140433311,
249,1.143899202,
248,1.151283145,
247,1.157935739,
246,1.165095925,
245,1.172930121,
244,1.189093471,
243,1.195913196,
242,1.219091177,
241,1.215103269,
240,1.243186951,
239,1.2587111,
238,1.276081443,
237,1.293698788,
236,1.315717816,
235,1.335150361,
234,1.332798362,
233,1.35575223,
232,1.355479956,
231,1.373491168,
230,1.384767771,
229,1.390829206,
228,1.387650251,
227,1.389084339,
226,1.403274417,
225,1.402002096,
224,1.383547306,
223,1.393253326,
222,1.383541107,
221,1.380037308,
220,1.381520152,
219,1.372472882,
218,1.384196162,
217,1.374435782,
216,1.373780966,
215,1.358457804,
214,1.377885938,
213,1.346107841,
212,1.358924031,
211,1.333687186,
210,1.310303092,
209,1.275698423,
208,1.281760335,
207,1.28445816,
206,1.260836601,
205,1.248759389,
204,1.21228981,
203,1.197584987,
202,1.156333089,
201,1.097385526,
200,1.040649652,

