IOH-SAI-02-R-Scan_200-790_DRA-Et-09-11-20,,
Wavelength (nm),%R,
351,31.92247391,
350,31.58220863,
349,32.62207413,
348,32.14786148,
347,31.87848282,
346,31.68211555,
345,31.2325325,
344,30.81269264,
343,30.58493042,
342,30.43035316,
341,30.15192986,
340,29.72201729,
339,29.61003113,
338,29.26365662,
337,29.01009369,
336,28.71989822,
335,28.48583984,
334,28.35520172,
333,28.12322617,
332,27.96876526,
331,27.70720482,
330,27.71649933,
329,27.52712059,
328,27.44625282,
327,27.00349617,
326,27.02514839,
325,26.94983864,
324,26.72748184,
323,26.7039032,
322,26.72538376,
321,26.76877022,
320,26.59274101,
319,26.58619881,
318,26.56300926,
317,26.34349823,
316,26.28194427,
315,26.46169662,
314,26.43500328,
313,26.39041901,
312,26.33021545,
311,26.30349731,
310,26.2709713,
309,26.11352158,
308,26.2778244,
307,26.22595406,
306,26.30647469,
305,26.10458755,
304,26.25179863,
303,26.18188477,
302,26.2000618,
301,26.2672596,
300,26.23711777,
299,26.16156578,
298,26.1221981,
297,25.87541962,
296,26.03427696,
295,26.0270977,
294,26.2258358,
293,26.0607872,
292,26.06276512,
291,25.88169861,
290,26.09547615,
289,25.99629784,
288,26.02177048,
287,25.93515587,
286,25.99127007,
285,25.9420433,
284,26.00419617,
283,25.98477364,
282,26.00988197,
281,25.80026054,
280,25.87819099,
279,25.76119041,
278,25.908535,
277,25.78826904,
276,25.79459572,
275,25.80475235,
274,25.80378914,
273,25.84741783,
272,25.75701714,
271,25.58047104,
270,25.6528759,
269,25.52967453,
268,25.63333511,
267,25.55291939,
266,25.50834084,
265,25.52371597,
264,25.46325874,
263,25.48448181,
262,25.51483536,
261,25.42338943,
260,25.53003693,
259,25.45517349,
258,25.37012672,
257,25.24529457,
256,25.19657326,
255,25.13466835,
254,25.26425362,
253,25.05533981,
252,25.14115524,
251,24.93391228,
250,24.90822411,
249,24.73875809,
248,24.68724442,
247,24.57698441,
246,24.4790554,
245,24.17062759,
244,24.17848969,
243,23.94784164,
242,23.86021996,
241,23.62955284,
240,23.54610062,
239,23.28837776,
238,23.054142,
237,22.923069,
236,22.70894432,
235,22.62205124,
234,22.42756653,
233,22.19323158,
232,22.25358582,
231,22.13588715,
230,21.9592495,
229,21.91263771,
228,21.94036484,
227,21.94009781,
226,21.83481216,
225,21.83102608,
224,21.98700523,
223,21.96537018,
222,21.94825745,
221,22.07036591,
220,22.09467316,
219,22.1416626,
218,22.13275337,
217,22.07313728,
216,22.08592415,
215,22.05569458,
214,22.11860657,
213,22.22675896,
212,22.42466927,
211,22.6726017,
210,22.93404579,
209,23.05747986,
208,23.21762085,
207,23.01393318,
206,23.4218502,
205,23.46654701,
204,23.98100281,
203,24.17280006,
202,24.73724747,
201,25.32579613,
200,26.19766235,

