V2O5-AM-02-Abs-Scan_8300-20000_cm-1_2x5mm_Vozduh-10-06-16,,
Wavenumber (cm-1),Abs,
9270,0.744479239,
9280,0.7481672764,
9290,0.7500730753,
9300,0.7503017783,
9310,0.7499231696,
9320,0.7490952015,
9330,0.747641921,
9340,0.7471423745,
9350,0.7489647269,
9360,0.7507099509,
9370,0.7479453087,
9380,0.7464691997,
9390,0.7507644892,
9400,0.7533914447,
9410,0.7528134584,
9420,0.7525277138,
9430,0.7527964115,
9440,0.7530280948,
9450,0.7515860796,
9460,0.7511419654,
9470,0.7528821826,
9480,0.7555366755,
9490,0.7569591403,
9500,0.7568964362,
9510,0.7575939298,
9520,0.7587810159,
9530,0.7572385669,
9540,0.7546359301,
9550,0.752979517,
9560,0.754055202,
9570,0.7554847002,
9580,0.7553720474,
9590,0.7580006123,
9600,0.7641381025,
9610,0.7670089602,
9620,0.7668616772,
9630,0.7662423253,
9640,0.7646015286,
9650,0.7610412836,
9660,0.7548002005,
9670,0.750012219,
9680,0.7519862652,
9690,0.7570739388,
9700,0.7614771724,
9710,0.764641881,
9720,0.7691137195,
9730,0.7763074636,
9740,0.778858602,
9750,0.7747750878,
9760,0.7699018717,
9770,0.7664206624,
9780,0.760617435,
9790,0.7539156675,
9800,0.7547155619,
9810,0.7621763349,
9820,0.7660754919,
9830,0.7674260736,
9840,0.7723807096,
9850,0.777815938,
9860,0.7779336572,
9870,0.7740773559,
9880,0.7712513208,
9890,0.7684252858,
9900,0.7660848498,
9910,0.7652301788,
9920,0.7653477192,
9930,0.7671869993,
9940,0.771074295,
9950,0.7746656537,
9960,0.7757172585,
9970,0.7769698501,
9980,0.7786769867,
9990,0.7776674032,
10000,0.7747913003,
10010,0.7732405066,
10020,0.7744675279,
10030,0.7748472095,
10040,0.7730496526,
10050,0.7731930017,
10060,0.7739574909,
10070,0.7740471959,
10080,0.7748770714,
10090,0.7765879035,
10100,0.7782574892,
10110,0.7780687213,
10120,0.7777200341,
10130,0.7787346244,
10140,0.7789543867,
10150,0.777765274,
10160,0.775634408,
10170,0.7732335329,
10180,0.7697615027,
10190,0.7673081756,
10200,0.767926991,
10210,0.7683109641,
10220,0.7673703432,
10230,0.7673128247,
10240,0.7680654526,
10250,0.767942667,
10260,0.7662433386,
10270,0.7644764781,
10280,0.7629193068,
10290,0.7607690096,
10300,0.760522902,
10310,0.7603551745,
10320,0.7601562738,
10330,0.7579803467,
10340,0.7565796971,
10350,0.755405426,
10360,0.754281044,
10370,0.7545200586,
