Baseline 100%T,,
Wavenumber (cm-1),%T,
3368.1,112.4258517777,
3368.1,112.4258517777,
3368.7,112.3988624057,
3368.7,112.3988624057,
3369.3,112.3997330235,
3369.3,112.3997330235,
3369.8,112.4829056181,
3369.8,112.4829056181,
3370.4,112.4752758000,
3370.4,112.4752758000,
3371.0,112.5103475306,
3371.0,112.5103475306,
3371.5,112.4511952846,
3371.5,112.4511952846,
3372.1,112.3988267342,
3372.1,112.3988267342,
3372.7,112.3914600228,
3372.7,112.3914600228,
3373.3,112.4059200948,
3373.3,112.4059200948,
3373.8,112.4327298480,
3373.8,112.4327298480,
3374.4,112.5072361191,
3374.4,112.5072361191,
3375.0,112.4676223793,
3375.0,112.4676223793,
3375.5,112.4631760526,
3375.5,112.4631760526,
3376.1,112.4282482543,
3376.1,112.4282482543,
3376.7,112.3741986911,
3376.7,112.3741986911,
3377.2,112.4295588611,
3377.2,112.4295588611,
3377.8,112.4397636207,
3377.8,112.4397636207,
3378.4,112.4761942824,
3378.4,112.4761942824,
3378.9,112.5488873203,
3378.9,112.5488873203,
3379.5,112.4832983168,
3379.5,112.4832983168,
3380.1,112.4632117445,
3380.1,112.4632117445,
3380.7,112.4028925628,
3380.7,112.4028925628,
3381.2,112.3940225555,
3381.2,112.3940225555,
3381.8,112.4552726530,
3381.8,112.4552726530,
3382.4,112.5059004785,
3382.4,112.5059004785,
3382.9,112.5119920565,
3382.9,112.5119920565,
3383.5,112.5131250980,
3383.5,112.5131250980,
3384.1,112.4472376692,
3384.1,112.4472376692,
3384.7,112.4215720014,
3384.7,112.4215720014,
3385.2,112.3991612879,
3385.2,112.3991612879,
3385.8,112.4211071955,
3385.8,112.4211071955,
3386.4,112.5024909985,
3386.4,112.5024909985,
3387.0,112.5179411220,
3387.0,112.5179411220,
3387.5,112.4966141575,
3387.5,112.4966141575,
3388.1,112.4886389377,
3388.1,112.4886389377,
3388.7,112.4442215609,
3388.7,112.4442215609,
3389.3,112.4015687645,
3389.3,112.4015687645,
3389.8,112.4572636436,
3389.8,112.4572636436,
3390.4,112.4929666198,
3390.4,112.4929666198,
3391.0,112.5627274883,
3391.0,112.5627274883,
3391.6,112.5723601318,
3391.6,112.5723601318,
3392.1,112.4852415584,
3392.1,112.4852415584,
3392.7,112.4503136600,
3392.7,112.4503136600,
3393.3,112.4191997769,
3393.3,112.4191997769,
3393.9,112.4389409182,
3393.9,112.4389409182,
3394.4,112.5166651938,
3394.4,112.5166651938,
3395.0,112.5290747508,
3395.0,112.5290747508,
3395.6,112.5661494156,
3395.6,112.5661494156,
3396.2,112.5581856797,
3396.2,112.5581856797,
3396.7,112.4544382626,
3396.7,112.4544382626,
3397.3,112.4408361331,
3397.3,112.4408361331,
3397.9,112.4467727572,
3397.9,112.4467727572,
3398.5,112.4781846800,
3398.5,112.4781846800,
3399.0,112.5501993335,
3399.0,112.5501993335,
3399.6,112.5284193473,
3399.6,112.5284193473,
3400.2,112.5005841289,
3400.2,112.5005841289,
3400.8,112.4641542477,
3400.8,112.4641542477,
3401.4,112.3888850181,
3401.4,112.3888850181,
3401.9,112.4115704208,
3401.9,112.4115704208,
3402.5,112.4526740010,
3402.5,112.4526740010,
3403.1,112.4712227880,
3403.1,112.4712227880,
3403.7,112.5118019316,
3403.7,112.5118019316,
3404.3,112.4813319518,
3404.3,112.4813319518,
3404.8,112.4260542946,
3404.8,112.4260542946,
3405.4,112.4295357174,
3405.4,112.4295357174,
3406.0,112.3955014828,
3406.0,112.3955014828,
3406.6,112.4585032078,
3406.6,112.4585032078,
3407.2,112.5350353357,
3407.2,112.5350353357,
3407.7,112.5227216439,
3407.7,112.5227216439,
3408.3,112.5408408175,
3408.3,112.5408408175,
3408.9,112.4876856149,
3408.9,112.4876856149,
3409.5,112.4156714243,
3409.5,112.4156714243,
