Baseline 100%T,,
Wavelength (nm),%T,
2926.0,112.4397877323,
2926.0,112.4397877323,
2925.5,112.4240040662,
2925.5,112.4240040662,
2925.0,112.4213936003,
2925.0,112.4213936003,
2924.5,112.4875785133,
2924.5,112.4875785133,
2924.0,112.5019312857,
2924.0,112.5019312857,
2923.5,112.4925970466,
2923.5,112.4925970466,
2923.0,112.4986763254,
2923.0,112.4986763254,
2922.5,112.4225970875,
2922.5,112.4225970875,
2922.0,112.4215122125,
2922.0,112.4215122125,
2921.5,112.4442697886,
2921.5,112.4442697886,
2921.0,112.4643085999,
2921.0,112.4643085999,
2920.5,112.6046416715,
2920.5,112.6046416715,
2920.0,112.5921484499,
2920.0,112.5921484499,
2919.5,112.5402924998,
2919.5,112.5402924998,
2919.0,112.4988789734,
2919.0,112.4988789734,
2918.5,112.4478819892,
2918.5,112.4478819892,
2918.0,112.4867197590,
2918.0,112.4867197590,
2917.5,112.5254271244,
2917.5,112.5254271244,
2917.0,112.5237109746,
2917.0,112.5237109746,
2916.5,112.5374080766,
2916.5,112.5374080766,
2916.0,112.4787568175,
2916.0,112.4787568175,
2915.5,112.4174833188,
2915.5,112.4174833188,
2915.0,112.4207262875,
2915.0,112.4207262875,
2914.5,112.4022841732,
2914.5,112.4022841732,
2914.0,112.4652385709,
2914.0,112.4652385709,
2913.5,112.5153419882,
2913.5,112.5153419882,
2913.0,112.4846462328,
2913.0,112.4846462328,
2912.5,112.5138286673,
2912.5,112.5138286673,
2912.0,112.4301076049,
2912.0,112.4301076049,
2911.5,112.3861673973,
2911.5,112.3861673973,
2911.0,112.4429580419,
2911.0,112.4429580419,
2910.5,112.4587655922,
2910.5,112.4587655922,
2910.0,112.5230073410,
2910.0,112.5230073410,
2909.5,112.4986406196,
2909.5,112.4986406196,
2909.0,112.4329564873,
2909.0,112.4329564873,
2908.5,112.4195932135,
2908.5,112.4195932135,
2908.0,112.3676895052,
2908.0,112.3676895052,
2907.5,112.3699902807,
2907.5,112.3699902807,
2907.0,112.4410386795,
2907.0,112.4410386795,
2906.5,112.4302503384,
2906.5,112.4302503384,
2906.0,112.4583247480,
2906.0,112.4583247480,
2905.5,112.4336720958,
2905.5,112.4336720958,
2905.0,112.3343590991,
2905.0,112.3343590991,
2904.5,112.3334167188,
2904.5,112.3334167188,
2904.0,112.3202560415,
2904.0,112.3202560415,
2903.5,112.3212098721,
2903.5,112.3212098721,
2903.0,112.3849151353,
2903.0,112.3849151353,
2902.5,112.3466011025,
2902.5,112.3466011025,
2902.0,112.3201365740,
2902.0,112.3201365740,
2901.5,112.2745038818,
2901.5,112.2745038818,
2901.0,112.2141598168,
2901.0,112.2141598168,
2900.5,112.2510787341,
2900.5,112.2510787341,
2900.0,112.3090390328,
2900.0,112.3090390328,
2899.5,112.3306753863,
2899.5,112.3306753863,
2899.0,112.3559598528,
2899.0,112.3559598528,
2898.5,112.3257045434,
2898.5,112.3257045434,
2898.0,112.2998710690,
2898.0,112.2998710690,
2897.5,112.2897743640,
2897.5,112.2897743640,
2897.0,112.2771263452,
2897.0,112.2771263452,
2896.5,112.3399614992,
2896.5,112.3399614992,
2896.0,112.3873830402,
2896.0,112.3873830402,
2895.5,112.3646620379,
2895.5,112.3646620379,
2895.0,112.3606081945,
2895.0,112.3606081945,
2894.5,112.2909070914,
2894.5,112.2909070914,
2894.0,112.2547270954,
2894.0,112.2547270954,
2893.5,112.2865197607,
2893.5,112.2865197607,
2893.0,112.2864128481,
2893.0,112.2864128481,
2892.5,112.3100399710,
2892.5,112.3100399710,
2892.0,112.3195652433,
2892.0,112.3195652433,
2891.5,112.2484328060,
2891.5,112.2484328060,
2891.0,112.2170090023,
2891.0,112.2170090023,
2890.5,112.1611233134,
2890.5,112.1611233134,
2890.0,112.1569276939,
2890.0,112.1569276939,
2889.5,112.2039437724,
2889.5,112.2039437724,
2889.0,112.1883394857,
2889.0,112.1883394857,
2888.5,112.1849896702,
2888.5,112.1849896702,
2888.0,112.1739507059,
2888.0,112.1739507059,
2887.5,112.0983958835,
2887.5,112.0983958835,
2887.0,112.0891451211,
2887.0,112.0891451211,
2886.5,112.0893124182,
2886.5,112.0893124182,
2886.0,112.1281148286,
2886.0,112.1281148286,
2885.5,112.2015838390,
2885.5,112.2015838390,
2885.0,112.1880892818,
2885.0,112.1880892818,
2884.5,112.1672626131,
2884.5,112.1672626131,
2884.0,112.1525879288,
2884.0,112.1525879288,
2883.5,112.1115449904,
2883.5,112.1115449904,
2883.0,112.1735812174,
2883.0,112.1735812174,
2882.5,112.2062922065,
2882.5,112.2062922065,
2882.0,112.2223976242,
2882.0,112.2223976242,
2881.5,112.2377274506,
2881.5,112.2377274506,
2881.0,112.1889476783,
2881.0,112.1889476783,
2880.5,112.1464609775,
2880.5,112.1464609775,
2880.0,112.1458886065,
